日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,上证50,000016.SH,10.94,1.26,14.88,6.48,87.51%,2.1,1.06,45.59%,12.17%,1.6667,MID,676.588亿元,72.341,2.4684%,3002.9395,2984.6490,3011.9096,2978.7515
2019-07-02,上证50,000016.SH,10.93,1.26,14.88,6.48,87.35%,2.1,1.06,45.28%,12.17%,1.6667,MID,502.029亿元,-3.863,-0.128%,2999.0759,3000.7803,3003.8838,2988.4701
2019-07-03,上证50,000016.SH,10.8,1.25,14.88,6.48,85.92%,2.1,1.06,43.71%,12.24%,1.6800,MID,529.488亿元,-34.34,-1.145%,2964.7309,2990.0547,2990.0547,2953.6999
2019-07-04,上证50,000016.SH,10.76,1.25,14.88,6.48,85.11%,2.1,1.06,43.45%,12.24%,1.6800,MID,492.409亿元,-11.45,-0.386%,2953.2719,2966.3315,2974.7974,2939.9707
2019-07-05,上证50,000016.SH,10.79,1.25,14.88,6.48,85.88%,2.1,1.06,43.89%,12.24%,1.6800,MID,379.724亿元,8.6502,0.2929%,2961.9222,2952.7138,2967.9828,2937.5953
2019-07-08,上证50,000016.SH,10.56,1.22,14.88,6.48,80.31%,2.08,1.06,36.5%,12.26%,1.7049,MID,489.319亿元,-64.41,-2.174%,2897.5121,2944.9730,2944.9730,2877.7370
2019-07-09,上证50,000016.SH,10.5,1.22,14.88,6.48,79.07%,2.08,1.06,34.66%,12.27%,1.7049,MID,330.521亿元,-15.96,-0.550%,2881.5517,2894.3320,2902.1430,2872.0295
2019-07-10,上证50,000016.SH,10.49,1.22,14.88,6.48,78.78%,2.08,1.06,33.87%,12.33%,1.7049,MID,305.673亿元,-2.770,-0.096%,2878.7812,2896.7013,2897.5754,2870.6704
2019-07-11,上证50,000016.SH,10.53,1.22,14.88,6.48,79.69%,2.07,1.06,35.58%,12.33%,1.6967,MID,370.576亿元,9.0500,0.3143%,2887.8313,2897.4724,2918.9444,2879.6359
2019-07-12,上证50,000016.SH,10.58,1.23,14.88,6.48,81.3%,2.07,1.06,39.37%,12.35%,1.6829,MID,361.028亿元,14.298,0.4951%,2902.1295,2883.0876,2912.8988,2878.2019
2019-07-15,上证50,000016.SH,10.59,1.23,14.88,6.48,81.49%,2.07,1.06,39.21%,12.35%,1.6829,MID,455.184亿元,0.4803,0.0165%,2902.6099,2885.9772,2920.1567,2850.0980
2019-07-16,上证50,000016.SH,10.52,1.23,14.88,6.48,79.54%,2.07,1.06,38.21%,12.35%,1.6829,MID,296.226亿元,-18.04,-0.621%,2884.561,2900.0461,2905.1108,2881.4038
2019-07-17,上证50,000016.SH,10.49,1.22,14.88,6.48,78.62%,2.07,1.06,36.33%,12.35%,1.6967,MID,292.346亿元,-9.531,-0.330%,2875.0299,2877.4885,2892.3352,2866.4655
2019-07-18,上证50,000016.SH,10.43,1.22,14.88,6.48,77.25%,2.07,1.06,34.06%,12.35%,1.6967,MID,307.661亿元,-15.86,-0.551%,2859.1646,2869.7295,2872.2421,2859.0691
2019-07-19,上证50,000016.SH,10.56,1.23,14.88,6.48,80.78%,2.06,1.06,38.66%,12.37%,1.6748,MID,369.548亿元,36.460,1.2751%,2895.6249,2875.9644,2906.5473,2875.9013
2019-07-22,上证50,000016.SH,10.51,1.22,14.88,6.48,79.54%,2.06,1.06,36.47%,12.37%,1.6885,MID,334.592亿元,-13.72,-0.473%,2881.9038,2897.7856,2905.3508,2872.5271
2019-07-23,上证50,000016.SH,10.51,1.22,14.88,6.48,79.49%,2.06,1.06,36.38%,12.36%,1.6885,MID,295.229亿元,-0.805,-0.027%,2881.0982,2885.7013,2889.3900,2871.5072
2019-07-24,上证50,000016.SH,10.6,1.23,14.88,6.48,82.27%,2.06,1.06,40.27%,12.36%,1.6748,MID,404.372亿元,25.452,0.8834%,2906.5502,2894.9357,2923.3990,2894.5946
2019-07-25,上证50,000016.SH,10.69,1.24,14.88,6.48,84.28%,2.06,1.06,42.18%,12.37%,1.6613,MID,349.947亿元,24.625,0.8472%,2931.1758,2911.0081,2931.1758,2903.3126
