日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额(亿元),涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-7-1,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2665.41亿元,66.024,2.22%,3044.9028,3024.6238,3045.3669,3014.6871
2019-7-2,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2295.66亿元,-0.96,-0.03%,3043.9428,3042.58,3048.4839,3033.7809
2019-7-3,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2186.57亿元,-28.67,-0.94%,3015.2633,3031.832,3031.832,3006.3246
2019-7-4,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2022.66亿元,-10.01,-0.33%,3005.2488,3015.6785,3024.5023,2991.9079
2019-7-5,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1631.8亿元,5.8099,0.19%,3011.0588,3004.7383,3014.8474,2990.9247
2019-7-8,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2055.68亿元,-77.69,-2.58%,2933.3634,2997.8067,2997.8067,2918.7157
2019-7-9,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1542.51亿元,-5.133,-0.17%,2928.2295,2928.8188,2937.7621,2912.8063
2019-7-10,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1412.36亿元,-12.92,-0.44%,2915.3022,2935.1855,2936.7519,2908.162
2019-7-11,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1521.81亿元,2.4587,0.08%,2917.7609,2928.0553,2945.8023,2907.8852
2019-7-12,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1429.18亿元,12.785,0.44%,2930.5462,2915.3401,2938.5311,2905.809
2019-7-15,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1765.33亿元,11.639,0.40%,2942.1853,2921.546,2955.0003,2886.6993
2019-7-16,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1407.66亿元,-4.568,-0.16%,2937.6168,2938.6411,2944.821,2931.2926
2019-7-17,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1521.62亿元,-5.924,-0.20%,2931.6926,2933.0227,2942.0668,2924.4594
2019-07-18,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1490.88亿元,-30.51,-1.040%,2901.1766,2921.7387,2921.7387,2901.1766
2019-07-19,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1490.71亿元,23.024,0.7936%,2924.2006,2909.6794,2939.5973,2909.6794
2019-07-22,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2042.89亿元,-37.22,-1.272%,2886.974,2925.7882,2927.1601,2879.6900
2019-07-23,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1480.77亿元,12.970,0.4492%,2899.9446,2886.9044,2901.3591,2883.0457
2019-07-24,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1788.58亿元,23.332,0.8045%,2923.2775,2907.9275,2936.4522,2907.7865
2019-07-25,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1753.56亿元,14.082,0.4817%,2937.3601,2923.1886,2937.3601,2916.1498
2019-07-26,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1587.74亿元,7.1809,0.2444%,2944.541,2928.0614,2948.3261,2924.4513
2019-07-29,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1474.39亿元,-3.534,-0.120%,2941.007,2943.9180,2948.4665,2932.9773
2019-07-30,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1708.66亿元,11.331,0.3852%,2952.3383,2946.2566,2965.6320,2946.2566
2019-07-31,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1646.07亿元,-19.83,-0.671%,2932.5058,2944.3977,2944.3977,2926.4853
2019-08-01,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1711.15亿元,-23.73,-0.809%,2908.766,2920.8506,2927.3421,2901.7503
2019-08-02,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2163.27亿元,-40.92,-1.406%,2867.8376,2861.3323,2872.4730,2851.4402
2019-08-05,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1968.91亿元,-46.34,-1.615%,2821.4957,2854.5780,2863.6891,2821.4957
2019-08-06,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,2552.09亿元,-43.93,-1.556%,2777.5559,2776.9889,2787.4185,2733.9242
2019-08-07,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1764.75亿元,-8.876,-0.319%,2768.6795,2789.0187,2792.6934,2768.6795
2019-08-08,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1781.56亿元,25.872,0.9344%,2794.5523,2784.1835,2799.6859,2782.2447
2019-08-09,上证指数,000001.SH,0,0,0,0,,0,0,,0%,0,,1711.40亿元,-19.79,-0.708%,2774.7532,2805.5856,2808.3289,2770.4777
