日期,收盘,开盘,高,低,涨跌幅
2019/12/13,3.203,3.25,3.25,3.195,0.28%
2019/12/12,3.194,3.21,3.228,3.194,-0.44%
2019/12/11,3.208,3.257,3.257,3.193,-0.47%
2019/12/10,3.223,3.271,3.271,3.201,0.47%
2019/12/9,3.208,3.26,3.26,3.208,-0.12%
2019/12/6,3.212,3.239,3.239,3.197,0.16%
2019/12/5,3.207,3.254,3.254,3.2,0.28%
2019/12/4,3.198,3.23,3.235,3.18,-1.39%
2019/12/3,3.243,3.249,3.256,3.226,0.84%
2019/12/2,3.216,3.215,3.222,3.2,0.75%
2019/11/29,3.192,3.237,3.237,3.176,-0.28%
2019/11/28,3.201,3.209,3.217,3.193,-0.16%
2019/11/27,3.206,3.186,3.224,3.176,-0.06%
2019/11/26,3.208,3.209,3.229,3.202,0.12%
2019/11/25,3.204,3.22,3.25,3.182,0.50%
2019/11/22,3.188,3.18,3.209,3.18,0.47%
2019/11/21,3.173,3.194,3.202,3.163,-0.81%
2019/11/20,3.199,3.236,3.253,3.194,-0.99%
2019/11/19,3.231,3.223,3.238,3.212,0.25%
2019/11/18,3.223,3.26,3.282,3.198,-1.23%
2019/11/15,3.263,3.299,3.299,3.245,-0.06%
2019/11/14,3.265,3.268,3.278,3.25,0.12%
2019/11/13,3.261,3.304,3.304,3.255,0.12%
2019/11/12,3.257,3.235,3.263,3.229,0.09%
2019/11/11,3.254,3.34,3.34,3.254,-1.09%
2019/11/8,3.29,3.287,3.316,3.287,0.37%
2019/11/7,3.278,3.3,3.3,3.267,0.28%
2019/11/6,3.269,3.325,3.325,3.259,-0.43%
2019/11/5,3.283,3.314,3.331,3.26,-0.48%
2019/11/4,3.299,3.3,3.318,3.288,0.49%
2019/11/1,3.283,3.343,3.343,3.281,0.06%
2019/10/31,3.281,3.378,3.378,3.28,-1.32%
2019/10/30,3.325,3.323,3.336,3.318,0.24%
2019/10/29,3.317,3.315,3.323,3.285,0.91%
2019/10/28,3.287,3.25,3.295,3.25,0.98%
2019/10/25,3.255,3.244,3.259,3.239,0.65%
2019/10/24,3.234,3.242,3.262,3.233,0.00%
2019/10/23,3.234,3.243,3.248,3.221,0.03%
2019/10/22,3.233,3.22,3.243,3.22,0.56%
2019/10/21,3.215,3.25,3.25,3.198,0.69%
2019/10/18,3.193,3.195,3.201,3.17,0.13%
2019/10/17,3.189,3.201,3.201,3.187,0.00%
2019/10/16,3.189,3.185,3.194,3.179,0.25%
2019/10/15,3.181,3.213,3.213,3.178,-0.41%
2019/10/14,3.194,3.2,3.208,3.184,0.66%
2019/10/12,3.173,3.199,3.199,3.172,0.32%
2019/10/11,3.163,3.17,3.17,3.161,0.70%
2019/10/10,3.141,3.156,3.156,3.136,0.71%
2019/10/9,3.119,3.181,3.181,3.115,-0.64%
2019/10/8,3.139,3.19,3.208,3.128,-0.51%
2019/9/30,3.155,3.18,3.18,3.155,-0.25%
2019/9/29,3.163,3.215,3.215,3.163,0.16%
2019/9/27,3.158,3.158,3.16,3.145,0.41%
2019/9/26,3.145,3.144,3.149,3.126,0.13%
2019/9/25,3.141,3.127,3.143,3.122,0.45%
2019/9/24,3.127,3.112,3.131,3.107,0.48%
2019/9/23,3.112,3.13,3.131,3.098,-0.19%
2019/9/21,3.118,3.118,3.118,3.118,0.00%
2019/9/20,3.118,3.165,3.165,3.114,-0.61%
2019/9/19,3.137,3.17,3.17,3.115,0.03%
2019/9/18,3.136,3.14,3.146,3.108,0.61%
2019/9/17,3.117,3.132,3.132,3.099,0.29%
2019/9/16,3.108,3.12,3.14,3.093,0.45%
2019/9/12,3.094,3.068,3.096,3.068,1.11%
2019/9/11,3.06,3.063,3.078,3.045,0.26%
2019/9/10,3.052,3.045,3.064,3.041,0.49%
2019/9/9,3.037,3.085,3.085,3.034,0.46%
2019/9/6,3.023,3.075,3.075,3.015,-0.79%
2019/9/5,3.047,3.078,3.078,3.047,-1.10%
2019/9/4,3.081,3.088,3.108,3.08,0.13%
2019/9/3,3.077,3.102,3.102,3.077,-0.03%
2019/9/2,3.078,3.08,3.082,3.066,0.33%
2019/8/30,3.068,3.058,3.075,3.057,0.62%
2019/8/29,3.049,3.078,3.085,3.047,-0.68%
2019/8/28,3.07,3.075,3.08,3.066,-0.16%
2019/8/27,3.075,3.086,3.086,3.068,-0.19%
2019/8/26,3.081,3.035,3.082,3.028,0.36%
2019/8/23,3.07,3.086,3.099,3.063,-0.23%
2019/8/22,3.077,3.068,3.083,3.068,0.49%
2019/8/21,3.062,3.048,3.065,3.048,0.79%
