日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中小板指,399005.SZ,25.67,3.38,67.62,17.17,34.23%,7.69,2.54,17.65%,13.5%,2.2751,MID,497.130亿元,229.30,4.0378%,5908.049,5828.432,5909.840,5803.070
2019-07-02,中小板指,399005.SZ,25.69,3.38,67.62,17.17,34.59%,7.69,2.54,17.58%,13.45%,2.2751,MID,416.711亿元,4.9250,0.0833%,5912.974,5904.170,5933.325,5874.022
2019-07-03,中小板指,399005.SZ,25.33,3.28,67.62,17.17,30.63%,7.69,2.54,13.45%,13.18%,2.3445,MID,331.137亿元,-83.52,-1.412%,5829.449,5895.078,5896.149,5804.128
2019-07-04,中小板指,399005.SZ,25.07,3.25,67.62,17.17,27.88%,7.69,2.54,11.67%,13.18%,2.3662,LOW,287.964亿元,-58.89,-1.010%,5770.555,5839.208,5855.281,5746.489
2019-07-05,中小板指,399005.SZ,25.19,3.26,67.62,17.17,29.38%,7.69,2.54,12.45%,13.19%,2.3589,LOW,260.641亿元,28.748,0.4981%,5799.304,5787.334,5817.038,5764.404
2019-07-08,中小板指,399005.SZ,24.56,3.19,67.62,17.17,23.03%,7.69,2.54,9.54%,13.19%,2.4107,LOW,330.200亿元,-145.9,-2.515%,5653.323,5784.422,5785.764,5613.418
2019-07-09,中小板指,399005.SZ,24.56,3.19,67.62,17.17,23.03%,7.69,2.54,9.610%,13.19%,2.4107,LOW,247.553亿元,-0.470,-0.008%,5652.853,5641.011,5665.016,5599.954
2019-07-10,中小板指,399005.SZ,24.43,3.18,67.62,17.17,21.99%,7.69,2.54,9.41%,13.20%,2.4182,LOW,229.968亿元,-29.49,-0.521%,5623.361,5669.157,5677.979,5605.364
2019-07-11,中小板指,399005.SZ,24.35,3.16,67.62,17.17,21.42%,7.69,2.54,8.790%,13.20%,2.4335,LOW,247.976亿元,-24.08,-0.428%,5599.277,5652.222,5685.917,5578.090
2019-07-12,中小板指,399005.SZ,24.46,3.19,67.62,17.17,22.39%,7.69,2.54,9.68%,13.25%,2.4107,LOW,213.405亿元,26.515,0.4735%,5625.792,5600.151,5642.108,5567.417
2019-07-15,中小板指,399005.SZ,24.73,3.23,67.62,17.17,24.73%,7.69,2.54,11.29%,13.26%,2.3808,LOW,311.290亿元,61.737,1.0973%,5687.529,5605.550,5722.044,5520.804
2019-07-16,中小板指,399005.SZ,24.66,3.22,67.62,17.17,24.16%,7.69,2.54,10.95%,13.27%,2.3882,LOW,237.173亿元,-16.18,-0.284%,5671.34,5674.814,5697.145,5656.856
2019-07-17,中小板指,399005.SZ,24.79,3.23,67.62,17.17,25.44%,7.69,2.54,11.5%,13.27%,2.3808,LOW,278.024亿元,29.240,0.5155%,5700.581,5670.329,5727.463,5646.378
2019-07-18,中小板指,399005.SZ,24.28,3.17,67.62,17.17,21.31%,7.69,2.54,8.83%,13.23%,2.4259,LOW,253.826亿元,-116.3,-2.040%,5584.233,5666.292,5666.292,5584.233
2019-07-19,中小板指,399005.SZ,24.46,3.21,67.62,17.17,22.43%,7.69,2.54,10.61%,13.3%,2.3956,LOW,243.059亿元,41.234,0.7384%,5625.468,5599.864,5669.915,5599.864
2019-07-22,中小板指,399005.SZ,24.31,3.19,67.62,17.17,21.39%,7.69,2.54,9.65%,13.3%,2.4107,LOW,309.544亿元,-35.54,-0.631%,5589.924,5654.651,5660.890,5546.190
2019-07-23,中小板指,399005.SZ,24.52,3.21,67.62,17.17,23.03%,7.69,2.54,10.81%,13.3%,2.3956,LOW,239.190亿元,47.630,0.8520%,5637.554,5589.122,5637.554,5586.004
2019-07-24,中小板指,399005.SZ,24.82,3.25,67.62,17.17,25.8%,7.69,2.54,12.3%,13.3%,2.3662,LOW,321.096亿元,69.332,1.2298%,5706.887,5649.298,5732.164,5649.298
2019-07-25,中小板指,399005.SZ,25.12,3.29,67.62,17.17,29.45%,7.69,2.54,14.46%,13.3%,2.3374,LOW,365.661亿元,70.604,1.2371%,5777.491,5710.546,5782.628,5703.651
2019-07-26,中小板指,399005.SZ,25.2,3.29,67.62,17.17,30.2%,7.69,2.54,14.44%,13.28%,2.3374,MID,300.463亿元,17.525,0.3033%,5795.017,5761.857,5804.617,5748.814
2019-07-29,中小板指,399005.SZ,25.23,3.29,67.62,17.17,30.75%,7.69,2.54,14.92%,13.28%,2.3374,MID,284.623亿元,6.9470,0.1198%,5801.964,5798.830,5814.708,5772.358
2019-07-30,中小板指,399005.SZ,25.3,3.29,67.62,17.17,31.52%,7.69,2.54,14.97%,13.13%,2.3374,MID,310.098亿元,16.479,0.2840%,5818.443,5806.295,5868.489,5806.295
