日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证传媒,399971.SZ,33.65,2.65,121.61,19.93,20.75%,10.43,2.29,9.77%,7.870%,3.9358,LOW,151.911亿元,43.796,3.6223%,1252.837,1237.107,1253.402,1231.804
2019-07-02,中证传媒,399971.SZ,33.42,2.64,121.61,19.93,20.27%,10.43,2.29,9.4%,7.870%,3.9508,LOW,101.003亿元,-8.384,-0.669%,1244.452,1252.430,1252.430,1241.253
2019-07-03,中证传媒,399971.SZ,32.96,2.6,121.61,19.93,19.7%,10.43,2.29,8.66%,7.870%,4.0115,LOW,89.3354亿元,-17.38,-1.396%,1227.069,1242.159,1242.329,1222.578
2019-07-04,中证传媒,399971.SZ,32.81,2.58,121.61,19.93,19.13%,10.43,2.29,8.5%,7.870%,4.0426,LOW,69.6983亿元,-5.479,-0.446%,1221.59,1229.334,1234.355,1216.992
2019-07-05,中证传媒,399971.SZ,32.94,2.59,121.61,19.93,19.59%,10.43,2.29,8.6%,7.870%,4.0270,LOW,62.7117亿元,4.7010,0.3848%,1226.291,1221.581,1228.643,1216.944
2019-07-08,中证传媒,399971.SZ,31.75,2.5,121.61,19.93,15.27%,10.43,2.29,5.86%,7.870%,4.1720,LOW,100.696亿元,-44.15,-3.600%,1182.14,1221.359,1221.359,1178.206
2019-07-09,中证传媒,399971.SZ,31.78,2.51,121.61,19.93,15.65%,10.43,2.29,6.01%,7.870%,4.1554,LOW,64.8214亿元,1.1089,0.0938%,1183.249,1181.450,1186.167,1170.819
2019-07-10,中证传媒,399971.SZ,31.36,2.47,121.61,19.93,14.31%,10.43,2.29,5.18%,7.870%,4.2227,LOW,54.8829亿元,-15.62,-1.320%,1167.629,1184.310,1185.257,1163.771
2019-07-11,中证传媒,399971.SZ,31.47,2.48,121.61,19.93,14.53%,10.43,2.29,5.28%,7.870%,4.2056,LOW,60.9618亿元,2.8200,0.2415%,1170.449,1174.034,1186.437,1166.112
2019-07-12,中证传媒,399971.SZ,31.59,2.49,121.61,19.93,14.99%,10.43,2.29,5.850%,7.870%,4.1888,LOW,62.0262亿元,4.6920,0.4008%,1175.141,1171.349,1176.406,1161.673
2019-07-15,中证传媒,399971.SZ,32.2,2.53,121.61,19.93,17.32%,10.43,2.29,7.090%,7.870%,4.1225,LOW,117.368亿元,22.395,1.9057%,1197.537,1171.034,1206.246,1159.454
2019-07-16,中证传媒,399971.SZ,32.2,2.53,121.61,19.93,17.41%,10.43,2.29,7.109%,7.88%,4.1225,LOW,75.9304亿元,0.2119,0.0176%,1197.749,1195.028,1200.598,1191.458
2019-07-17,中证传媒,399971.SZ,32.24,2.53,121.61,19.93,17.52%,10.43,2.29,7.19%,7.88%,4.1225,LOW,101.961亿元,1.6069,0.1341%,1199.356,1196.067,1205.364,1191.631
2019-07-18,中证传媒,399971.SZ,31.58,2.49,121.61,19.93,14.86%,10.43,2.29,5.99%,7.920%,4.1888,LOW,89.5849亿元,-24.75,-2.063%,1174.603,1190.692,1190.692,1174.603
2019-07-19,中证传媒,399971.SZ,31.77,2.52,121.61,19.93,15.79%,10.43,2.29,6.819%,7.95%,4.1389,LOW,89.2727亿元,7.1399,0.6078%,1181.743,1178.088,1195.885,1178.001
2019-07-22,中证传媒,399971.SZ,31.02,2.46,121.61,19.93,13.60%,10.43,2.29,4.83%,7.95%,4.2398,LOW,96.3977亿元,-27.81,-2.353%,1153.931,1183.891,1185.087,1149.076
