日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证军工,399967.SZ,63.35,2.53,249.38,52.26,14.82%,9.49,2.04,17.73%,3.869%,3.7510,MID,66.7283亿元,188.54,2.4745%,7807.646,7745.775,7808.843,7731.333
2019-07-02,中证军工,399967.SZ,64.11,2.58,249.38,52.26,16.37%,9.49,2.04,18.75%,3.869%,3.6783,MID,86.9049亿元,93.988,1.2037%,7901.634,7965.719,7978.572,7875.537
2019-07-03,中证军工,399967.SZ,64.78,2.63,249.38,52.26,17.84%,9.49,2.04,19.35%,3.869%,3.6084,MID,100.652亿元,82.061,1.0385%,7983.696,7873.215,8046.019,7801.450
2019-07-04,中证军工,399967.SZ,65.53,2.66,249.38,52.26,19.47%,9.49,2.04,20.62%,3.869%,3.5677,MID,154.686亿元,93.001,1.1648%,8076.697,7967.423,8250.758,7950.260
2019-07-05,中证军工,399967.SZ,65.02,2.63,249.38,52.26,18.49%,9.49,2.04,19.28%,3.869%,3.6084,MID,89.7535亿元,-63.24,-0.782%,8013.449,8046.964,8073.858,7971.102
2019-07-08,中证军工,399967.SZ,62.91,2.55,249.38,52.26,13.8%,9.49,2.04,17.91%,3.869%,3.7216,MID,89.1528亿元,-259.5,-3.238%,7753.886,7989.305,7989.305,7699.942
2019-07-09,中证军工,399967.SZ,62.99,2.55,249.38,52.26,14.01%,9.49,2.04,17.95%,3.869%,3.7216,MID,51.7163亿元,9.1920,0.1185%,7763.078,7730.529,7792.843,7684.499
2019-07-10,中证军工,399967.SZ,62.83,2.54,249.38,52.26,13.56%,9.49,2.04,17.89%,3.869%,3.7362,MID,59.2648亿元,-20.12,-0.259%,7742.958,7774.010,7854.246,7710.852
2019-07-11,中证军工,399967.SZ,62.67,2.54,249.38,52.26,13.18%,9.49,2.04,17.89%,3.869%,3.7362,MID,48.4002亿元,-27.25,-0.351%,7715.706,7771.326,7828.925,7675.282
2019-07-12,中证军工,399967.SZ,62.56,2.53,249.38,52.26,12.8%,9.49,2.04,17.43%,3.869%,3.7510,MID,38.4960亿元,-13.04,-0.169%,7702.662,7711.345,7736.833,7649.585
2019-07-15,中证军工,399967.SZ,64.3,2.61,249.38,52.26,17.07%,9.49,2.04,19.13%,3.88%,3.6360,MID,70.0619亿元,213.79,2.7755%,7916.455,7706.175,7916.779,7680.096
