日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证环保,000827.SH,28.19,2.2,76.19,18.47,21.99%,5.97,1.75,15.7%,10.02%,2.7136,LOW,265.639亿元,34.397,2.8561%,1238.6968,1228.8263,1238.6968,1221.4078
2019-07-02,中证环保,000827.SH,28.19,2.2,76.19,18.47,21.97%,5.97,1.75,16.04%,10.02%,2.7136,LOW,284.797亿元,-0.241,-0.019%,1238.4548,1238.4978,1241.1136,1228.5727
2019-07-03,中证环保,000827.SH,28.14,2.21,76.19,18.47,21.78%,5.97,1.75,16.5%,10.02%,2.7014,LOW,239.737亿元,-2.112,-0.170%,1236.3427,1234.6741,1238.3616,1227.6940
2019-07-04,中证环保,000827.SH,28.06,2.2,76.19,18.47,21.52%,5.97,1.75,15.72%,10.0%,2.7136,LOW,199.459亿元,-3.704,-0.299%,1232.6384,1236.8091,1244.6230,1228.0105
2019-07-05,中证环保,000827.SH,28.01,2.21,76.19,18.47,21.45%,5.97,1.75,16.12%,10.02%,2.7014,LOW,157.127亿元,-1.892,-0.153%,1230.7455,1232.4299,1233.1811,1223.4359
2019-07-08,中证环保,000827.SH,27.06,2.14,76.19,18.47,16.64%,5.97,1.75,14.00%,10.02%,2.7897,LOW,185.020亿元,-41.94,-3.407%,1188.7973,1228.0179,1228.0179,1184.6945
2019-07-09,中证环保,000827.SH,27.13,2.15,76.19,18.47,17.23%,5.97,1.75,14.28%,10.02%,2.7767,LOW,147.723亿元,3.0798,0.2590%,1191.8772,1187.0998,1192.5670,1177.9807
2019-07-10,中证环保,000827.SH,26.87,2.15,76.19,18.47,15.52%,5.97,1.75,14.27%,10.04%,2.7767,LOW,139.384亿元,-11.50,-0.964%,1180.373,1192.0592,1193.0167,1177.4968
2019-07-11,中证环保,000827.SH,26.82,2.15,76.19,18.47,15.21%,5.97,1.75,14.11%,10.05%,2.7767,LOW,138.859亿元,-3.454,-0.292%,1176.9185,1184.0800,1192.5149,1171.2348
2019-07-12,中证环保,000827.SH,26.92,2.16,76.19,18.47,15.93%,5.97,1.75,14.95%,10.07%,2.7639,LOW,137.174亿元,4.4722,0.3799%,1181.3908,1179.0377,1187.5226,1174.1694
2019-07-15,中证环保,000827.SH,27.03,2.17,76.19,18.47,16.59%,5.97,1.75,15.49%,10.08%,2.7512,LOW,177.473亿元,5.1306,0.4342%,1186.5214,1174.8764,1192.8252,1159.5394
2019-07-16,中证环保,000827.SH,27.07,2.17,76.19,18.47,16.93%,5.97,1.75,15.45%,10.08%,2.7512,LOW,128.474亿元,1.5055,0.1268%,1188.027,1185.9979,1189.4075,1183.3883
2019-07-17,中证环保,000827.SH,27.07,2.17,76.19,18.47,17.05%,5.97,1.75,15.26%,10.07%,2.7512,LOW,130.445亿元,0.0963,0.0081%,1188.1234,1187.5365,1192.3749,1184.1357
2019-07-18,中证环保,000827.SH,26.6,2.16,76.19,18.47,14.02%,5.97,1.75,14.75%,10.19%,2.7639,LOW,143.762亿元,-20.67,-1.739%,1167.4449,1183.7361,1183.7361,1167.4210
2019-07-19,中证环保,000827.SH,26.79,2.18,76.19,18.47,15.04%,5.97,1.75,15.67%,10.20%,2.7385,LOW,128.673亿元,8.2081,0.7030%,1175.653,1170.4568,1185.1544,1170.4439
2019-07-22,中证环保,000827.SH,26.24,2.17,76.19,18.47,12.79%,5.97,1.75,15.04%,10.20%,2.7512,LOW,147.325亿元,-23.88,-2.031%,1151.7703,1176.1873,1178.1233,1149.3967
2019-07-23,中证环保,000827.SH,26.61,2.2,76.19,18.47,14.17%,5.97,1.75,16.29%,10.22%,2.7136,LOW,146.675亿元,16.018,1.3907%,1167.7885,1153.1300,1167.8261,1152.9255
2019-07-24,中证环保,000827.SH,26.88,2.22,76.19,18.47,15.85%,5.97,1.75,17.4%,10.22%,2.6892,LOW,169.088亿元,12.170,1.0421%,1179.9593,1170.7023,1185.1290,1170.7023
2019-07-25,中证环保,000827.SH,26.93,2.22,76.19,18.47,16.33%,5.97,1.75,17.72%,10.22%,2.6892,LOW,171.293亿元,2.1523,0.1824%,1182.1117,1179.3092,1184.9829,1176.1107
2019-07-26,中证环保,000827.SH,26.97,2.23,76.19,18.47,16.56%,5.97,1.75,18.43%,10.2%,2.6771,LOW,155.341亿元,1.4269,0.1207%,1183.5386,1179.9963,1184.5430,1176.5940
2019-07-29,中证环保,000827.SH,27.02,2.24,76.19,18.47,16.73%,5.97,1.75,19.09%,10.2%,2.6652,LOW,146.565亿元,2.1687,0.1832%,1185.7074,1183.8666,1188.2975,1180.9237
2019-07-30,中证环保,000827.SH,27.17,2.24,76.19,18.47,18.22%,5.97,1.75,19.0%,10.18%,2.6652,LOW,162.496亿元,5.4283,0.4578%,1191.1357,1186.1375,1200.0529,1186.1006
2019-07-31,中证环保,000827.SH,27.06,2.23,76.19,18.47,17.13%,5.97,1.75,18.11%,10.18%,2.6771,LOW,144.609亿元,-5.166,-0.433%,1185.9694,1189.3499,1189.3499,1181.8872
2019-08-01,中证环保,000827.SH,27,2.23,76.19,18.47,16.7%,5.97,1.75,18.07%,10.18%,2.6771,LOW,178.250亿元,-2.274,-0.191%,1183.6945,1179.2387,1187.9478,1178.1871
2019-08-02,中证环保,000827.SH,26.62,2.2,76.19,18.47,14.23%,5.97,1.75,16.34%,10.14%,2.7136,LOW,196.884亿元,-17.05,-1.440%,1166.6436,1160.8935,1167.8325,1155.5103
2019-08-05,中证环保,000827.SH,26.26,2.16,76.19,18.47,12.83%,5.97,1.75,14.64%,10.14%,2.7639,LOW,179.621亿元,-15.69,-1.344%,1150.9467,1162.8216,1172.2658,1150.9467
2019-08-06,中证环保,000827.SH,25.6,2.12,76.19,18.47,10.85%,5.97,1.75,12.83%,10.13%,2.8160,LOW,219.240亿元,-28.67,-2.490%,1122.2699,1131.8524,1131.8524,1098.3641
2019-08-07,中证环保,000827.SH,25.6,2.12,76.19,18.47,10.84%,5.97,1.75,12.83%,10.13%,2.8160,LOW,165.457亿元,-0.079,-0.007%,1122.1901,1133.6889,1135.9528,1122.1841
2019-08-08,中证环保,000827.SH,25.75,2.12,76.19,18.47,11.08%,5.97,1.75,12.70%,10.03%,2.8160,LOW,191.332亿元,6.4189,0.5719%,1128.6091,1128.3410,1133.1902,1125.0653
