日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证银行,399986.CSI,6.57,0.88,8.29,4.46,76.41%,1.41,0.79,18.41%,12.68%,1.6023,MID,166.261亿元,85.457,1.3018%,6649.642,6650.770,6677.185,6629.172
2019-07-02,中证银行,399986.CSI,6.56,0.88,8.29,4.46,75.94%,1.41,0.79,18.93%,12.67%,1.6023,MID,143.695亿元,-2.739,-0.041%,6646.902,6648.700,6652.152,6615.472
2019-07-03,中证银行,399986.CSI,6.52,0.88,8.29,4.46,74.18%,1.41,0.79,17.75%,12.77%,1.6023,MID,116.144亿元,-41.48,-0.624%,6605.414,6614.749,6614.766,6577.968
2019-07-04,中证银行,399986.CSI,6.51,0.88,8.29,4.46,73.50%,1.41,0.79,17.63%,12.77%,1.6023,MID,110.295亿元,-8.650,-0.130%,6596.763,6614.509,6630.647,6577.510
2019-07-05,中证银行,399986.CSI,6.49,0.87,8.29,4.46,71.6%,1.41,0.79,17.59%,12.78%,1.6207,MID,91.3805亿元,-27.89,-0.422%,6568.869,6577.889,6577.889,6540.020
2019-07-08,中证银行,399986.CSI,6.37,0.86,8.29,4.46,65.73%,1.41,0.79,10.66%,12.78%,1.6395,LOW,125.657亿元,-120.2,-1.829%,6448.613,6544.092,6544.092,6422.354
2019-07-09,中证银行,399986.CSI,6.32,0.86,8.29,4.46,63.36%,1.41,0.79,9.24%,12.80%,1.6395,LOW,74.4654亿元,-44.68,-0.692%,6403.925,6427.350,6438.296,6390.972
2019-07-10,中证银行,399986.CSI,6.28,0.85,8.29,4.46,60.91%,1.41,0.79,7.979%,12.88%,1.6588,LOW,83.6561亿元,-39.68,-0.619%,6364.242,6417.179,6418.761,6346.291
2019-07-11,中证银行,399986.CSI,6.3,0.86,8.29,4.46,62.03%,1.41,0.79,8.870%,12.9%,1.6395,LOW,89.5238亿元,10.702,0.1681%,6374.944,6379.557,6409.442,6359.471
2019-07-12,中证银行,399986.CSI,6.35,0.86,8.29,4.46,65.07%,1.41,0.79,12.37%,12.94%,1.6395,LOW,113.720亿元,51.329,0.8051%,6426.274,6356.543,6448.248,6345.429
2019-07-15,中证银行,399986.CSI,6.34,0.86,8.29,4.46,64.28%,1.41,0.79,12.04%,12.93%,1.6395,LOW,105.741亿元,-8.780,-0.136%,6417.493,6397.055,6451.326,6329.053
2019-07-16,中证银行,399986.CSI,6.33,0.86,8.29,4.46,63.69%,1.41,0.79,11.61%,12.94%,1.6395,LOW,70.0694亿元,-11.06,-0.172%,6406.431,6416.189,6429.043,6397.310
2019-07-17,中证银行,399986.CSI,6.31,0.86,8.29,4.46,62.28%,1.41,0.79,9.39%,12.94%,1.6395,LOW,64.6158亿元,-25.21,-0.393%,6381.213,6385.374,6413.664,6368.162
2019-07-18,中证银行,399986.CSI,6.3,0.86,8.29,4.46,61.92%,1.41,0.79,9.790%,12.94%,1.6395,LOW,73.7353亿元,-5.471,-0.085%,6375.741,6382.698,6394.208,6359.231
2019-07-19,中证银行,399986.CSI,6.38,0.87,8.29,4.46,66.49%,1.41,0.79,13.63%,12.94%,1.6207,LOW,97.8539亿元,79.833,1.2521%,6455.575,6399.889,6465.664,6393.709
2019-07-22,中证银行,399986.CSI,6.36,0.87,8.29,4.46,65.69%,1.41,0.79,13.12%,12.95%,1.6207,LOW,93.8228亿元,-17.98,-0.278%,6437.594,6450.877,6481.125,6408.946
2019-07-23,中证银行,399986.CSI,6.37,0.87,8.29,4.46,66.19%,1.41,0.79,14.84%,12.97%,1.6207,LOW,78.3857亿元,11.259,0.1748%,6448.853,6442.724,6457.541,6426.492
2019-07-24,中证银行,399986.CSI,6.41,0.87,8.29,4.46,68.32%,1.41,0.79,17.56%,12.95%,1.6207,LOW,103.400亿元,37.488,0.5813%,6486.342,6472.788,6528.428,6467.230
2019-07-25,中证银行,399986.CSI,6.51,0.88,8.29,4.46,73.03%,1.41,0.79,22.03%,13.0%,1.6023,MID,132.168亿元,96.320,1.4849%,6582.663,6497.692,6583.237,6496.167
2019-07-26,中证银行,399986.CSI,6.5,0.88,8.29,4.46,72.50%,1.41,0.79,21.06%,13.0%,1.6023,MID,90.2138亿元,-5.009,-0.076%,6577.653,6558.107,6592.091,6556.070
2019-07-29,中证银行,399986.CSI,6.49,0.88,8.29,4.46,72.11%,1.41,0.79,20.16%,13.0%,1.6023,MID,94.2153亿元,-6.761,-0.102%,6570.892,6581.889,6586.382,6547.318
2019-07-30,中证银行,399986.CSI,6.52,0.88,8.29,4.46,74.64%,1.41,0.79,22.79%,13.0%,1.6023,MID,108.927亿元,30.565,0.4651%,6601.458,6573.619,6644.785,6570.214
2019-07-31,中证银行,399986.CSI,6.47,0.88,8.29,4.46,71.41%,1.41,0.79,19.84%,13.0%,1.6023,MID,95.6316亿元,-51.36,-0.778%,6550.09,6575.367,6580.948,6530.176
2019-08-01,中证银行,399986.CSI,6.42,0.87,8.29,4.46,68.45%,1.41,0.79,16.5%,13.0%,1.6207,LOW,93.5253亿元,-58.50,-0.893%,6491.585,6526.970,6544.274,6469.683
2019-08-02,中证银行,399986.CSI,6.34,0.86,8.29,4.46,63.80%,1.41,0.79,10.72%,13.0%,1.6395,LOW,127.711亿元,-74.93,-1.154%,6416.649,6406.923,6437.028,6396.262
2019-08-05,中证银行,399986.CSI,6.22,0.85,8.29,4.46,57.07%,1.41,0.79,6.909%,13.01%,1.6588,LOW,118.135亿元,-118.7,-1.849%,6297.857,6387.962,6391.567,6297.179
2019-08-06,中证银行,399986.CSI,6.16,0.84,8.29,4.46,53.89%,1.41,0.79,4.16%,13.01%,1.6786,LOW,130.822亿元,-66.29,-1.052%,6231.562,6208.293,6254.859,6187.337
2019-08-07,中证银行,399986.CSI,6.14,0.83,8.29,4.46,53.26%,1.41,0.79,3.429%,13.01%,1.6988,LOW,95.2701亿元,-17.05,-0.273%,6214.503,6254.613,6259.740,6209.404
2019-08-08,中证银行,399986.CSI,6.25,0.84,8.29,4.46,58.3%,1.41,0.79,6.59%,13.01%,1.6786,LOW,128.404亿元,105.94,1.7047%,6320.447,6258.197,6333.700,6254.162
2019-08-09,中证银行,399986.CSI,6.21,0.85,8.29,4.46,56.84%,1.41,0.79,6.74%,13.01%,1.6588,LOW,112.757亿元,-7.342,-0.116%,6313.104,6337.639,6358.572,6296.030
2019-08-12,中证银行,399986.CSI,6.28,0.85,8.29,4.46,60.44%,1.41,0.79,8.51%,13.01%,1.6588,LOW,118.466亿元,70.987,1.1244%,6384.092,6308.169,6388.101,6306.661
2019-08-13,中证银行,399986.CSI,6.22,0.85,8.29,4.46,56.84%,1.41,0.79,6.959%,13.02%,1.6588,LOW,87.4220亿元,-69.68,-1.091%,6314.41,6351.710,6353.635,6301.712
2019-08-14,中证银行,399986.CSI,6.2,0.85,8.29,4.46,56.06%,1.41,0.79,6.660%,13.02%,1.6588,LOW,111.511亿元,-16.43,-0.260%,6297.975,6370.084,6380.734,6295.906
2019-08-15,中证银行,399986.CSI,6.19,0.85,8.29,4.46,55.87%,1.41,0.79,6.93%,13.02%,1.6588,LOW,86.9721亿元,-5.812,-0.092%,6292.163,6212.896,6294.174,6206.305
2019-08-16,中证银行,399986.CSI,6.18,0.84,8.29,4.46,54.97%,1.41,0.79,5.94%,13.01%,1.6786,LOW,93.5950亿元,-16.72,-0.265%,6275.436,6291.642,6315.261,6254.178
2019-08-19,中证银行,399986.CSI,6.21,0.84,8.29,4.46,56.35%,1.41,0.79,6.69%,13.01%,1.6786,LOW,201.091亿元,29.570,0.4712%,6305.007,6255.226,6307.791,6180.477
2019-08-20,中证银行,399986.CSI,6.2,0.84,8.29,4.46,55.91%,1.41,0.79,4.17%,12.95%,1.6786,LOW,125.822亿元,-11.15,-0.176%,6293.851,6277.012,6329.514,6272.137
2019-08-21,中证银行,399986.CSI,6.18,0.84,8.29,4.46,54.80%,1.41,0.79,4.04%,12.95%,1.6786,LOW,93.4499亿元,-20.67,-0.328%,6273.171,6281.232,6296.584,6267.505
2019-08-22,中证银行,399986.CSI,6.17,0.83,8.29,4.46,54.19%,1.41,0.79,2.76%,12.95%,1.6988,LOW,81.8505亿元,-9.481,-0.151%,6263.69,6287.520,6289.594,6245.321
2019-08-23,中证银行,399986.CSI,6.23,0.84,8.29,4.46,57.94%,1.41,0.79,4.73%,12.95%,1.6786,LOW,120.728亿元,67.599,1.0792%,6331.289,6266.105,6340.529,6260.522
2019-08-26,中证银行,399986.CSI,6.13,0.83,8.29,4.46,52.54%,1.41,0.79,1.880%,12.95%,1.6988,LOW,121.624亿元,-104.6,-1.652%,6226.609,6242.069,6271.696,6205.604
2019-08-27,中证银行,399986.CSI,6.16,0.83,8.29,4.46,53.38%,1.41,0.79,2.73%,12.95%,1.6988,LOW,148.823亿元,28.009,0.4498%,6254.618,6259.985,6317.980,6254.618
2019-08-28,中证银行,399986.CSI,6.11,0.83,8.29,4.46,51.54%,1.41,0.79,1.880%,12.97%,1.6988,LOW,128.984亿元,-53.17,-0.850%,6201.443,6241.218,6245.368,6195.722
2019-08-29,中证银行,399986.CSI,6.07,0.82,8.29,4.46,49.23%,1.41,0.79,1.52%,13.01%,1.7195,LOW,103.871亿元,-38.73,-0.624%,6162.708,6199.152,6207.507,6138.832
2019-08-30,中证银行,399986.CSI,6.05,0.82,8.29,4.46,48.26%,1.41,0.79,1.52%,13.04%,1.7195,LOW,108.606亿元,12.788,0.2075%,6175.496,6203.101,6217.309,6155.621
2019-09-02,中证银行,399986.CSI,6,0.82,8.29,4.46,45.83%,1.41,0.79,1.43%,13.0%,1.7195,LOW,117.631亿元,35.262,0.5709%,6210.759,6184.079,6234.177,6172.959
2019-09-03,中证银行,399986.CSI,6,0.82,8.29,4.46,45.6%,1.41,0.79,1.52%,13.0%,1.7195,LOW,85.2877亿元,-3.634,-0.058%,6207.125,6220.400,6224.963,6194.870
2019-09-04,中证银行,399986.CSI,6.09,0.83,8.29,4.46,50.77%,1.41,0.79,3.08%,13.0%,1.6988,LOW,143.070亿元,97.463,1.5701%,6304.589,6211.750,6304.589,6207.333
2019-09-05,中证银行,399986.CSI,6.17,0.84,8.29,4.46,54.59%,1.41,0.79,5.7%,13.0%,1.6786,LOW,199.994亿元,78.076,1.2383%,6382.665,6327.275,6444.535,6327.129
2019-09-06,中证银行,399986.CSI,6.21,0.84,8.29,4.46,56.82%,1.41,0.79,7.26%,13.0%,1.6786,LOW,110.998亿元,41.523,0.6505%,6424.188,6417.386,6426.675,6382.031
2019-09-09,中证银行,399986.CSI,6.19,0.84,8.29,4.46,55.58%,1.41,0.79,6.45%,13.0%,1.6786,LOW,153.492亿元,-20.28,-0.315%,6403.904,6470.882,6486.162,6391.225
