日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,全指信息,000993.SH,52.53,3.51,155.26,28.5,52.52%,11.29,2.34,31.75%,4.939%,3.2165,MID,1369.17亿元,246.46,5.1382%,5043.0085,4949.5697,5043.0085,4921.8482
2019-07-02,全指信息,000993.SH,51.98,3.47,155.26,28.5,49.84%,11.29,2.34,30.84%,4.93%,3.2536,MID,1116.39亿元,-52.78,-1.046%,4990.2203,5038.8217,5048.0647,4971.2721
2019-07-03,全指信息,000993.SH,51.04,3.41,155.26,28.5,45.92%,11.29,2.34,29.26%,4.93%,3.3109,MID,798.832亿元,-90.19,-1.807%,4900.0235,4965.8945,4966.3098,4875.3171
2019-07-04,全指信息,000993.SH,50.62,3.38,155.26,28.5,43.93%,11.29,2.34,28.29%,4.939%,3.3402,MID,659.736亿元,-39.91,-0.814%,4860.111,4907.8860,4922.0250,4833.0595
2019-07-05,全指信息,000993.SH,50.9,3.4,155.26,28.5,45.36%,11.29,2.34,29.12%,4.939%,3.3206,MID,591.517亿元,26.379,0.5427%,4886.4903,4862.5755,4899.8020,4850.0184
2019-07-08,全指信息,000993.SH,48.95,3.27,155.26,28.5,35.83%,11.29,2.34,25.29%,4.939%,3.4526,MID,792.331亿元,-187.0,-3.826%,4699.3916,4865.7978,4865.7978,4677.2826
2019-07-09,全指信息,000993.SH,49.01,3.28,155.26,28.5,36.03%,11.29,2.34,25.31%,4.939%,3.4421,MID,566.852亿元,5.7313,0.1219%,4705.1229,4698.2678,4726.4125,4646.6492
2019-07-10,全指信息,000993.SH,48.9,3.27,155.26,28.5,35.49%,11.29,2.34,25.16%,4.939%,3.4526,MID,577.024亿元,-10.05,-0.213%,4695.072,4721.9604,4730.4729,4674.6545
2019-07-11,全指信息,000993.SH,48.7,3.26,155.26,28.5,34.9%,11.29,2.34,24.95%,4.939%,3.4632,MID,589.202亿元,-24.01,-0.511%,4671.0583,4719.5083,4753.2407,4648.0647
2019-07-12,全指信息,000993.SH,48.76,3.26,155.26,28.5,35.19%,11.29,2.34,25.05%,4.939%,3.4632,MID,520.002亿元,5.3753,0.1150%,4676.4336,4674.1477,4698.4067,4629.3328
