日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,全指医药,000991.SH,29.97,3.73,73.26,24.04,17.26%,8.42,2.75,20.65%,10.67%,2.2574,LOW,362.947亿元,255.87,2.8637%,9190.6186,9079.4816,9191.1701,9054.5301
2019-07-02,全指医药,000991.SH,30.31,3.78,73.26,24.04,18.87%,8.42,2.75,21.92%,10.68%,2.2275,LOW,365.068亿元,103.96,1.1311%,9294.5862,9187.8831,9304.7658,9154.3916
2019-07-03,全指医药,000991.SH,29.93,3.57,73.26,24.04,17.09%,8.42,2.75,15.37%,10.18%,2.3585,LOW,318.607亿元,-118.2,-1.271%,9176.3204,9272.8933,9272.8933,9144.4390
2019-07-04,全指医药,000991.SH,29.55,3.53,73.26,24.04,14.95%,8.42,2.75,13.10%,10.18%,2.3853,LOW,273.669亿元,-114.4,-1.246%,9061.8295,9190.7954,9211.0925,9025.8563
2019-07-05,全指医药,000991.SH,29.95,3.57,73.26,24.04,17.23%,8.42,2.75,15.44%,10.18%,2.3585,LOW,275.385亿元,122.37,1.3503%,9184.206,9087.9995,9202.1404,9079.4358
2019-07-08,全指医药,000991.SH,29.23,3.49,73.26,24.04,13.17%,8.42,2.75,11.55%,10.18%,2.4126,LOW,319.902亿元,-220.8,-2.404%,8963.3695,9153.8903,9153.8903,8890.6306
2019-07-09,全指医药,000991.SH,29.25,3.49,73.26,24.04,13.22%,8.42,2.75,11.66%,10.19%,2.4126,LOW,228.495亿元,5.2671,0.0587%,8968.6367,8955.4893,8993.1192,8910.5427
2019-07-10,全指医药,000991.SH,29.27,3.5,73.26,24.04,13.37%,8.42,2.75,11.69%,10.19%,2.4057,LOW,246.130亿元,6.5549,0.0730%,8975.1916,9002.6026,9030.6634,8950.9733
2019-07-11,全指医药,000991.SH,29.37,3.51,73.26,24.04,14.34%,8.42,2.75,11.93%,10.2%,2.3989,LOW,269.305亿元,21.549,0.2400%,8996.7412,9009.4754,9075.0101,8962.4588
2019-07-12,全指医药,000991.SH,29.48,3.52,73.26,24.04,14.96%,8.42,2.75,13.16%,10.20%,2.3920,LOW,275.215亿元,32.402,0.3601%,9029.1436,8999.5277,9059.5778,8960.7700
2019-07-15,全指医药,000991.SH,29.58,3.54,73.26,24.04,15.36%,8.42,2.75,13.98%,10.22%,2.3785,LOW,333.655亿元,32.184,0.3564%,9061.3279,9013.8053,9101.9327,8894.8622
2019-07-16,全指医药,000991.SH,29.49,3.53,73.26,24.04,15.04%,8.42,2.75,13.27%,10.23%,2.3853,LOW,302.915亿元,-27.36,-0.301%,9033.9609,9059.1320,9125.1024,9007.1742
2019-07-17,全指医药,000991.SH,29.36,3.51,73.26,24.04,14.32%,8.42,2.75,12.52%,10.23%,2.3989,LOW,277.348亿元,-38.94,-0.431%,8995.0192,9021.1166,9047.9724,8980.9094
2019-07-18,全指医药,000991.SH,28.91,3.46,73.26,24.04,11.16%,8.42,2.75,10.8%,10.23%,2.4335,LOW,244.228亿元,-140.4,-1.560%,8854.5884,8966.6612,8966.6612,8853.1519
2019-07-19,全指医药,000991.SH,28.94,3.46,73.26,24.04,11.31%,8.42,2.75,10.83%,10.24%,2.4335,LOW,224.112亿元,8.9236,0.1007%,8863.5121,8884.4096,8957.4605,8857.2953
2019-07-22,全指医药,000991.SH,28.55,3.42,73.26,24.04,9.6%,8.42,2.75,9.959%,10.24%,2.4620,LOW,241.327亿元,-119.0,-1.342%,8744.4342,8868.7909,8877.9072,8715.2110
2019-07-23,全指医药,000991.SH,28.75,3.44,73.26,24.04,10.37%,8.42,2.75,10.68%,10.24%,2.4477,LOW,198.211亿元,60.800,0.6952%,8805.2352,8748.7825,8808.4597,8743.0714
2019-07-24,全指医药,000991.SH,28.97,3.47,73.26,24.04,11.75%,8.42,2.75,11.12%,10.23%,2.4265,LOW,212.456亿元,68.897,0.7824%,8874.1325,8823.0787,8924.0916,8823.0787
2019-07-25,全指医药,000991.SH,29.05,3.48,73.26,24.04,12.26%,8.42,2.75,11.49%,10.24%,2.4195,LOW,195.051亿元,24.134,0.2719%,8898.2672,8879.8251,8907.3167,8857.6551
2019-07-26,全指医药,000991.SH,29.23,3.5,73.26,24.04,13.38%,8.42,2.75,12.04%,10.24%,2.4057,LOW,228.819亿元,54.311,0.6103%,8952.5784,8883.6700,8958.8666,8866.5133
2019-07-29,全指医药,000991.SH,29.05,3.48,73.26,24.04,12.3%,8.42,2.75,11.48%,10.24%,2.4195,LOW,198.991亿元,-53.78,-0.600%,8898.7905,8948.1338,8948.1338,8876.3511
