日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,全指可选,000989.SH,18.64,2.03,43.14,13.67,27.77%,5.41,1.65,13.63%,7.82%,2.6650,LOW,473.105亿元,137.87,3.2147%,4426.5079,4362.0342,4431.7375,4353.3948
2019-07-02,全指可选,000989.SH,18.73,2.05,43.14,13.67,28.59%,5.41,1.65,14.21%,7.82%,2.6390,LOW,417.358亿元,19.816,0.4476%,4446.3243,4420.6580,4456.1362,4407.3072
2019-07-03,全指可选,000989.SH,18.53,2.02,43.14,13.67,26.44%,5.41,1.65,12.75%,7.739%,2.6782,LOW,351.587亿元,-47.41,-1.066%,4398.909,4443.0638,4443.0638,4382.0046
2019-07-04,全指可选,000989.SH,18.44,2.01,43.14,13.67,25.29%,5.41,1.65,12.13%,7.739%,2.6915,LOW,337.959亿元,-20.41,-0.463%,4378.4921,4403.8151,4425.3877,4360.9030
2019-07-05,全指可选,000989.SH,18.56,2.02,43.14,13.67,26.88%,5.41,1.65,12.85%,7.739%,2.6782,LOW,284.961亿元,28.358,0.6476%,4406.8504,4381.9074,4412.4193,4358.4300
2019-07-08,全指可选,000989.SH,18.01,1.96,43.14,13.67,19.18%,5.41,1.65,9.229%,7.739%,2.7602,LOW,346.988亿元,-130.1,-2.952%,4276.7358,4392.6743,4392.6743,4257.9792
2019-07-09,全指可选,000989.SH,18.04,1.97,43.14,13.67,19.65%,5.41,1.65,9.879%,7.739%,2.7462,LOW,261.831亿元,7.3653,0.1722%,4284.1012,4276.7039,4294.0298,4253.3171
2019-07-10,全指可选,000989.SH,17.95,1.95,43.14,13.67,18.65%,5.41,1.65,8.97%,7.75%,2.7744,LOW,241.103亿元,-21.36,-0.498%,4262.7355,4298.9954,4301.0925,4249.9017
2019-07-11,全指可选,000989.SH,17.93,1.95,43.14,13.67,18.23%,5.41,1.65,8.649%,7.75%,2.7744,LOW,267.520亿元,-8.321,-0.195%,4254.4141,4279.6725,4317.2127,4236.5706
2019-07-12,全指可选,000989.SH,17.96,1.96,43.14,13.67,18.94%,5.41,1.65,9.2%,7.79%,2.7602,LOW,232.538亿元,6.6203,0.1556%,4261.0345,4249.7427,4272.5050,4228.0816
2019-07-15,全指可选,000989.SH,18.05,1.97,43.14,13.67,20.02%,5.41,1.65,10.12%,7.79%,2.7462,LOW,302.915亿元,21.726,0.5098%,4282.7615,4250.3298,4303.4952,4187.4519
2019-07-16,全指可选,000989.SH,17.95,1.96,43.14,13.67,18.61%,5.41,1.65,9.45%,7.779%,2.7602,LOW,249.623亿元,-24.61,-0.574%,4258.1481,4281.3738,4288.6877,4245.8401
2019-07-17,全指可选,000989.SH,17.91,1.96,43.14,13.67,18.14%,5.41,1.65,9.15%,7.779%,2.7602,LOW,257.711亿元,-10.58,-0.248%,4247.5595,4252.6642,4262.7137,4229.4218
2019-07-18,全指可选,000989.SH,17.67,1.93,43.14,13.67,16.22%,5.41,1.65,7.770%,7.79%,2.8031,LOW,243.797亿元,-56.83,-1.337%,4190.7244,4231.7071,4231.7071,4183.1342
2019-07-19,全指可选,000989.SH,17.71,1.94,43.14,13.67,16.68%,5.41,1.65,8.219%,7.79%,2.7887,LOW,236.556亿元,11.103,0.2649%,4201.8276,4203.7916,4244.2447,4198.6196
2019-07-22,全指可选,000989.SH,17.45,1.91,43.14,13.67,14.71%,5.41,1.65,6.9%,7.8%,2.8325,LOW,259.561亿元,-61.83,-1.471%,4139.9915,4204.6283,4207.0543,4127.6279
2019-07-23,全指可选,000989.SH,17.59,1.93,43.14,13.67,15.78%,5.41,1.65,7.829%,7.810%,2.8031,LOW,212.980亿元,33.590,0.8113%,4173.5824,4138.0525,4173.9699,4134.6118
2019-07-24,全指可选,000989.SH,17.77,1.95,43.14,13.67,17.22%,5.41,1.65,9.01%,7.810%,2.7744,LOW,257.909亿元,40.494,0.9702%,4214.0774,4186.6480,4234.1441,4186.6480
2019-07-25,全指可选,000989.SH,17.8,1.95,43.14,13.67,17.57%,5.41,1.65,9.13%,7.810%,2.7744,LOW,225.024亿元,9.4767,0.2248%,4223.5541,4214.8385,4229.3776,4200.8099
2019-07-26,全指可选,000989.SH,17.83,1.95,43.14,13.67,17.87%,5.41,1.65,9.120%,7.8%,2.7744,LOW,218.204亿元,5.5300,0.1309%,4229.0842,4209.4908,4234.2079,4202.1178
2019-07-29,全指可选,000989.SH,17.81,1.95,43.14,13.67,17.65%,5.41,1.65,9.04%,7.8%,2.7744,LOW,221.746亿元,-4.451,-0.105%,4224.6331,4231.5472,4239.2436,4210.8607
2019-07-30,全指可选,000989.SH,17.98,1.97,43.14,13.67,19.55%,5.41,1.65,10.54%,7.729%,2.7462,LOW,274.590亿元,40.504,0.9587%,4265.1374,4226.4267,4277.4443,4226.3391
2019-07-31,全指可选,000989.SH,17.86,1.95,43.14,13.67,18.2%,5.41,1.65,9.139%,7.580%,2.7744,LOW,228.488亿元,-29.27,-0.686%,4235.8642,4260.1941,4260.1941,4229.8395
2019-08-01,全指可选,000989.SH,17.68,1.93,43.14,13.67,16.34%,5.41,1.65,8.03%,7.59%,2.8031,LOW,242.976亿元,-42.20,-0.996%,4193.6618,4219.1627,4224.1862,4177.1886
2019-08-02,全指可选,000989.SH,17.41,1.91,43.14,13.67,14.38%,5.41,1.65,6.77%,7.59%,2.8325,LOW,280.849亿元,-62.86,-1.498%,4130.8001,4101.4705,4136.0343,4077.7730
