日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,养老产业,399812.SZ,24.33,3.28,36.19,19.2,40.26%,4.71,2.42,74.08%,13.96%,1.4360,MID,431.587亿元,225.13,3.2313%,7192.259,7093.566,7192.259,7078.854
2019-07-02,养老产业,399812.SZ,24.38,3.28,36.19,19.2,40.47%,4.71,2.42,73.31%,13.96%,1.4360,MID,342.138亿元,13.649,0.1897%,7205.909,7185.292,7226.273,7157.831
2019-07-03,养老产业,399812.SZ,24.08,3.16,36.19,19.2,38.1%,4.71,2.42,62.02%,13.63%,1.4905,MID,327.349亿元,-89.25,-1.238%,7116.659,7190.292,7190.683,7093.230
2019-07-04,养老产业,399812.SZ,23.78,3.12,36.19,19.2,36.21%,4.71,2.42,59.08%,13.63%,1.5096,MID,301.153亿元,-86.23,-1.211%,7030.424,7122.850,7137.070,7003.846
2019-07-05,养老产业,399812.SZ,23.95,3.16,36.19,19.2,37.07%,4.71,2.42,61.58%,13.63%,1.4905,MID,254.553亿元,50.301,0.7154%,7080.726,7046.653,7097.229,7032.715
2019-07-08,养老产业,399812.SZ,23.34,3.07,36.19,19.2,32.21%,4.71,2.42,55.84%,13.63%,1.5342,MID,327.844亿元,-181.9,-2.568%,6898.78,7065.523,7065.523,6841.588
2019-07-09,养老产业,399812.SZ,23.31,3.06,36.19,19.2,32.1%,4.71,2.42,55.43%,13.63%,1.5392,MID,220.421亿元,-7.670,-0.111%,6891.109,6891.187,6913.190,6847.694
2019-07-10,养老产业,399812.SZ,23.3,3.07,36.19,19.2,31.99%,4.71,2.42,55.77%,13.63%,1.5342,MID,217.853亿元,-4.687,-0.068%,6886.422,6909.302,6924.370,6868.220
2019-07-11,养老产业,399812.SZ,23.38,3.09,36.19,19.2,32.93%,4.71,2.42,56.82%,13.63%,1.5243,MID,257.096亿元,17.614,0.2557%,6904.036,6914.234,6978.617,6877.073
2019-07-12,养老产业,399812.SZ,23.52,3.13,36.19,19.2,34.27%,4.71,2.42,59.55%,13.65%,1.5048,MID,261.252亿元,42.295,0.6126%,6946.331,6900.424,6960.363,6876.559
