日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,创业板指,399006.SZ,53.66,4.59,159.13,28.81,52.54%,15.01,2.51,46.63%,9.11%,3.2702,MID,1113.14亿元,56.653,3.7481%,1568.16,1545.061,1568.399,1534.555
2019-07-02,创业板指,399006.SZ,53.74,4.61,159.13,28.81,52.75%,15.01,2.51,48.02%,9.11%,3.2560,MID,1017.88亿元,2.3519,0.1499%,1570.512,1565.987,1577.028,1560.599
2019-07-03,创业板指,399006.SZ,52.85,4.53,159.13,28.81,51.12%,15.01,2.51,44.85%,9.11%,3.3135,MID,873.945亿元,-26.15,-1.665%,1544.357,1566.301,1566.301,1538.367
2019-07-04,创业板指,399006.SZ,52.45,4.49,159.13,28.81,49.82%,15.01,2.51,43.35%,9.11%,3.3430,MID,775.818亿元,-11.61,-0.751%,1532.744,1548.558,1551.141,1525.293
2019-07-05,创业板指,399006.SZ,52.96,4.53,159.13,28.81,51.35%,15.01,2.51,44.75%,9.120%,3.3135,MID,687.127亿元,14.993,0.9781%,1547.737,1535.481,1551.936,1532.863
2019-07-08,创业板指,399006.SZ,51.56,4.42,159.13,28.81,47.15%,15.01,2.51,39.65%,9.120%,3.3959,MID,850.429亿元,-41.07,-2.653%,1506.661,1547.598,1547.598,1495.227
2019-07-09,创业板指,399006.SZ,51.94,4.45,159.13,28.81,47.76%,15.01,2.51,41.69%,9.13%,3.3730,MID,632.793亿元,11.131,0.7387%,1517.793,1507.386,1521.710,1501.741
2019-07-10,创业板指,399006.SZ,51.69,4.44,159.13,28.81,47.23%,15.01,2.51,40.81%,9.139%,3.3806,MID,637.003亿元,-7.357,-0.484%,1510.435,1521.946,1523.806,1504.659
2019-07-11,创业板指,399006.SZ,51.87,4.45,159.13,28.81,47.66%,15.01,2.51,41.36%,9.139%,3.3730,MID,642.658亿元,3.7640,0.2491%,1514.199,1522.807,1531.637,1507.705
2019-07-12,创业板指,399006.SZ,52,4.45,159.13,28.81,48.07%,15.01,2.51,41.69%,9.139%,3.3730,MID,623.844亿元,3.875,0.2559%,1518.074,1517.039,1525.691,1506.703
2019-07-15,创业板指,399006.SZ,53.01,4.52,159.13,28.81,51.41%,15.01,2.51,44.26%,9.139%,3.3208,MID,877.135亿元,29.394,1.9362%,1547.468,1512.768,1556.046,1496.813
2019-07-16,创业板指,399006.SZ,52.93,4.51,159.13,28.81,51.21%,15.01,2.51,43.82%,9.139%,3.3282,MID,721.757亿元,-2.195,-0.141%,1545.273,1545.337,1551.992,1538.619
2019-07-17,创业板指,399006.SZ,53.1,4.53,159.13,28.81,51.64%,15.01,2.51,44.34%,9.139%,3.3135,MID,776.040亿元,4.9440,0.3199%,1550.217,1544.421,1563.048,1541.370
2019-07-18,创业板指,399006.SZ,52.22,4.45,159.13,28.81,48.69%,15.01,2.51,41.69%,9.139%,3.3730,MID,699.674亿元,-25.73,-1.659%,1524.479,1542.433,1542.661,1524.479
2019-07-19,创业板指,399006.SZ,52.82,4.5,159.13,28.81,50.84%,15.01,2.51,43.41%,9.139%,3.3356,MID,667.492亿元,17.501,1.1479%,1541.981,1532.377,1552.741,1532.377
2019-07-22,创业板指,399006.SZ,51.93,4.43,159.13,28.81,47.4%,15.01,2.51,40.06%,9.15%,3.3883,MID,687.683亿元,-26.01,-1.686%,1515.965,1545.913,1545.927,1511.521
2019-07-23,创业板指,399006.SZ,52.58,4.49,159.13,28.81,49.97%,15.01,2.51,42.9%,9.15%,3.3430,MID,594.336亿元,18.961,1.2507%,1534.926,1519.629,1535.043,1516.858
2019-07-24,创业板指,399006.SZ,53.22,4.55,159.13,28.81,51.74%,15.01,2.51,45.26%,9.15%,3.2989,MID,768.200亿元,18.792,1.2242%,1553.718,1539.232,1562.130,1538.671
2019-07-25,创业板指,399006.SZ,53.64,4.59,159.13,28.81,52.49%,15.01,2.51,46.36%,9.15%,3.2702,MID,733.568亿元,12.358,0.7953%,1566.077,1552.853,1567.329,1549.491
2019-07-26,创业板指,399006.SZ,53.5,4.58,159.13,28.81,52.03%,15.01,2.51,46.19%,9.15%,3.2773,MID,631.817亿元,-4.221,-0.269%,1561.855,1562.203,1565.437,1552.390
2019-07-29,创业板指,399006.SZ,53.66,4.58,159.13,28.81,52.44%,15.01,2.51,46.29%,9.180%,3.2773,MID,633.675亿元,4.6689,0.2989%,1566.524,1561.269,1566.744,1556.385
2019-07-30,创业板指,399006.SZ,54.12,4.63,159.13,28.81,53.32%,15.01,2.51,48.75%,9.180%,3.2419,MID,717.419亿元,13.605,0.8684%,1580.129,1568.162,1593.694,1566.600
2019-07-31,创业板指,399006.SZ,53.79,4.59,159.13,28.81,52.83%,15.01,2.51,46.56%,9.180%,3.2702,MID,629.181亿元,-9.735,-0.616%,1570.393,1577.196,1578.754,1567.995
2019-08-01,创业板指,399006.SZ,53.91,4.59,159.13,28.81,53.0%,15.01,2.51,46.48%,9.180%,3.2702,MID,688.211亿元,3.4729,0.2211%,1573.866,1562.533,1578.859,1561.201
2019-08-02,创业板指,399006.SZ,53.32,4.55,159.13,28.81,51.62%,15.01,2.51,45.09%,9.180%,3.2989,MID,787.140亿元,-17.12,-1.087%,1556.744,1539.920,1559.121,1536.402
2019-08-05,创业板指,399006.SZ,52.45,4.47,159.13,28.81,49.1%,15.01,2.51,41.53%,9.180%,3.3579,MID,735.060亿元,-25.37,-1.629%,1531.372,1552.350,1566.730,1531.372
2019-08-06,创业板指,399006.SZ,51.65,4.4,159.13,28.81,46.27%,15.01,2.51,38.45%,9.16%,3.4114,MID,877.260亿元,-23.46,-1.531%,1507.911,1501.396,1517.676,1478.543
2019-08-07,创业板指,399006.SZ,51.39,4.4,159.13,28.81,45.48%,15.01,2.51,38.25%,9.15%,3.4114,MID,671.199亿元,-7.660,-0.507%,1500.251,1520.582,1523.618,1500.074
2019-08-08,创业板指,399006.SZ,52.17,4.46,159.13,28.81,47.66%,15.01,2.51,41.43%,9.139%,3.3655,MID,653.429亿元,22.722,1.5145%,1522.974,1512.272,1526.182,1511.343
2019-08-09,创业板指,399006.SZ,51.44,4.43,159.13,28.81,45.56%,15.01,2.51,39.04%,9.139%,3.3883,MID,695.329亿元,-15.26,-1.001%,1507.706,1532.975,1536.252,1504.893
2019-08-12,创业板指,399006.SZ,52.54,4.5,159.13,28.81,49.25%,15.01,2.51,43.30%,9.139%,3.3356,MID,663.239亿元,32.207,2.1361%,1539.913,1511.320,1539.913,1506.680
2019-08-13,创业板指,399006.SZ,52.01,4.47,159.13,28.81,47.15%,15.01,2.51,41.74%,9.139%,3.3579,MID,632.348亿元,-15.55,-1.009%,1524.357,1526.078,1535.980,1519.013
2019-08-14,创业板指,399006.SZ,52.43,4.51,159.13,28.81,48.92%,15.01,2.51,43.45%,9.139%,3.3282,MID,772.826亿元,12.303,0.8070%,1536.66,1546.209,1551.444,1534.848
