日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,沪深300,000300.SH,13.68,1.52,21.84,8.9,69.19%,2.49,1.17,50.22%,11.92%,1.6382,MID,2174.70亿元,110.22,2.8811%,3935.8116,3899.3313,3936.6680,3886.9090
2019-07-02,沪深300,000300.SH,13.68,1.52,21.84,8.9,69.31%,2.49,1.17,50.33%,11.92%,1.6382,MID,1739.97亿元,1.3575,0.0344%,3937.1691,3931.0486,3942.4257,3918.9378
2019-07-03,沪深300,000300.SH,13.53,1.51,21.84,8.9,67.73%,2.49,1.17,48.1%,11.92%,1.6490,MID,1631.45亿元,-43.63,-1.108%,3893.5341,3927.4365,3927.4365,3878.8405
2019-07-04,沪深300,000300.SH,13.46,1.5,21.84,8.9,66.97%,2.49,1.17,46.6%,11.92%,1.6600,MID,1426.69亿元,-20.43,-0.524%,3873.1019,3895.1978,3906.8894,3854.6930
2019-07-05,沪深300,000300.SH,13.53,1.5,21.84,8.9,67.75%,2.49,1.17,48.07%,11.92%,1.6600,MID,1162.36亿元,20.100,0.5189%,3893.2025,3875.3736,3900.3095,3857.9280
2019-07-08,沪深300,000300.SH,13.21,1.47,21.84,8.9,62.31%,2.49,1.17,39.46%,11.93%,1.6939,MID,1471.98亿元,-90.41,-2.322%,3802.7897,3875.7547,3875.7547,3775.0259
2019-07-09,沪深300,000300.SH,13.18,1.47,21.84,8.9,61.59%,2.49,1.17,38.83%,11.94%,1.6939,MID,1131.47亿元,-9.659,-0.253%,3793.1297,3798.0954,3811.0993,3774.7641
2019-07-10,沪深300,000300.SH,13.16,1.47,21.84,8.9,60.89%,2.49,1.17,37.97%,11.98%,1.6939,MID,1013.55亿元,-6.390,-0.168%,3786.739,3807.9497,3810.3960,3774.2304
2019-07-11,沪深300,000300.SH,13.17,1.47,21.84,8.9,61.17%,2.49,1.17,38.69%,11.99%,1.6939,MID,1136.74亿元,-1.518,-0.040%,3785.221,3806.1855,3830.7387,3774.4137
2019-07-12,沪深300,000300.SH,13.25,1.48,21.84,8.9,63.23%,2.49,1.17,41.81%,12.02%,1.6824,MID,1070.07亿元,23.510,0.6210%,3808.7311,3783.0733,3820.2354,3774.5224
2019-07-15,沪深300,000300.SH,13.3,1.49,21.84,8.9,64.63%,2.49,1.17,43.04%,12.02%,1.6711,MID,1424.93亿元,15.456,0.4058%,3824.1878,3792.6409,3844.8683,3745.8549
2019-07-16,沪深300,000300.SH,13.24,1.48,21.84,8.9,63.19%,2.49,1.17,41.77%,12.02%,1.6824,MID,1084.49亿元,-17.34,-0.453%,3806.8449,3819.2474,3828.3256,3799.8665
2019-07-17,沪深300,000300.SH,13.23,1.48,21.84,8.9,62.94%,2.49,1.17,41.05%,12.02%,1.6824,MID,1167.66亿元,-2.206,-0.057%,3804.6384,3800.1064,3820.2713,3787.8973
2019-07-18,沪深300,000300.SH,13.11,1.47,21.84,8.9,59.58%,2.49,1.17,38.35%,12.03%,1.6939,MID,1116.69亿元,-36.23,-0.952%,3768.4019,3793.1893,3793.3916,3767.9958
2019-07-19,沪深300,000300.SH,13.25,1.48,21.84,8.9,63.33%,2.49,1.17,41.87%,12.04%,1.6824,MID,1177.97亿元,39.553,1.0495%,3807.9551,3787.5079,3828.1514,3787.5079
2019-07-22,沪深300,000300.SH,13.15,1.47,21.84,8.9,60.87%,2.49,1.17,39.53%,12.04%,1.6939,MID,1178.10亿元,-26.27,-0.689%,3781.6832,3813.5022,3816.5387,3765.4428
