日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,深证100,399330.SZ,19.96,2.93,31.19,11.78,74.29%,4.38,1.81,77.83%,13.29%,1.4949,MID,933.658亿元,173.81,4.3388%,4179.673,4104.221,4179.673,4085.001
2019-07-02,深证100,399330.SZ,20.04,2.94,31.19,11.78,75.32%,4.38,1.81,78.79%,13.27%,1.4898,MID,776.232亿元,16.833,0.4027%,4196.506,4172.493,4201.542,4157.936
2019-07-03,深证100,399330.SZ,19.72,2.84,31.19,11.78,71.69%,4.38,1.81,70.42%,12.92%,1.5423,MID,690.676亿元,-66.54,-1.585%,4129.958,4183.038,4183.038,4107.912
2019-07-04,深证100,399330.SZ,19.59,2.82,31.19,11.78,69.85%,4.38,1.81,68.32%,12.92%,1.5532,MID,531.660亿元,-26.87,-0.650%,4103.082,4137.568,4152.943,4082.098
2019-07-05,深证100,399330.SZ,19.83,2.84,31.19,11.78,73.14%,4.38,1.81,71.23%,12.92%,1.5423,MID,494.892亿元,49.688,1.2109%,4152.77,4109.621,4162.263,4099.390
2019-07-08,深证100,399330.SZ,19.38,2.78,31.19,11.78,67.25%,4.38,1.81,63.68%,12.88%,1.5755,MID,595.038亿元,-93.36,-2.248%,4059.406,4140.390,4140.720,4021.324
2019-07-09,深证100,399330.SZ,19.39,2.78,31.19,11.78,67.30%,4.38,1.81,63.94%,12.88%,1.5755,MID,447.073亿元,0.9149,0.0225%,4060.321,4055.405,4072.191,4029.230
2019-07-10,深证100,399330.SZ,19.4,2.78,31.19,11.78,67.52%,4.38,1.81,64.03%,12.9%,1.5755,MID,414.939亿元,1.9410,0.0478%,4062.262,4078.098,4081.823,4043.843
2019-07-11,深证100,399330.SZ,19.34,2.78,31.19,11.78,66.46%,4.38,1.81,63.53%,12.93%,1.5755,MID,458.003亿元,-15.50,-0.381%,4046.761,4084.163,4111.095,4035.645
2019-07-12,深证100,399330.SZ,19.53,2.8,31.19,11.78,69.39%,4.38,1.81,67.29%,12.95%,1.5643,MID,435.908亿元,39.612,0.9788%,4086.373,4049.832,4097.471,4041.470
2019-07-15,深证100,399330.SZ,19.67,2.82,31.19,11.78,71.36%,4.38,1.81,69.04%,12.95%,1.5532,MID,606.847亿元,29.316,0.7174%,4115.69,4069.896,4138.027,4018.456
2019-07-16,深证100,399330.SZ,19.56,2.81,31.19,11.78,69.72%,4.38,1.81,67.64%,12.95%,1.5587,MID,512.721亿元,-23.93,-0.581%,4091.756,4110.311,4122.089,4079.935
2019-07-17,深证100,399330.SZ,19.62,2.82,31.19,11.78,70.61%,4.38,1.81,68.63%,12.95%,1.5532,MID,576.099亿元,13.022,0.3182%,4104.778,4086.816,4130.634,4071.193
2019-07-18,深证100,399330.SZ,19.34,2.78,31.19,11.78,66.31%,4.38,1.81,63.67%,12.94%,1.5755,MID,516.533亿元,-59.53,-1.450%,4045.241,4083.961,4084.039,4043.754
2019-07-19,深证100,399330.SZ,19.5,2.81,31.19,11.78,69.13%,4.38,1.81,67.67%,12.97%,1.5587,MID,492.428亿元,33.905,0.8381%,4079.146,4067.515,4108.489,4064.240
2019-07-22,深证100,399330.SZ,19.41,2.79,31.19,11.78,67.86%,4.38,1.81,65.72%,12.97%,1.5699,MID,524.674亿元,-18.17,-0.445%,4060.967,4091.361,4097.175,4032.031
2019-07-23,深证100,399330.SZ,19.45,2.8,31.19,11.78,68.64%,4.38,1.81,66.63%,12.97%,1.5643,MID,473.727亿元,8.9989,0.2215%,4069.966,4062.310,4073.247,4037.589
2019-07-24,深证100,399330.SZ,19.61,2.82,31.19,11.78,70.71%,4.38,1.81,69.21%,12.97%,1.5532,MID,573.797亿元,33.531,0.8238%,4103.497,4083.418,4124.938,4083.418
2019-07-25,深证100,399330.SZ,19.84,2.85,31.19,11.78,74.00%,4.38,1.81,72.84%,12.97%,1.5368,MID,629.445亿元,47.698,1.1623%,4151.196,4103.495,4151.196,4094.322
2019-07-26,深证100,399330.SZ,19.86,2.86,31.19,11.78,74.22%,4.38,1.81,72.97%,12.95%,1.5315,MID,518.932亿元,3.6410,0.0877%,4154.837,4133.052,4163.609,4126.929
2019-07-29,深证100,399330.SZ,19.87,2.85,31.19,11.78,74.33%,4.38,1.81,73.00%,12.95%,1.5368,MID,541.432亿元,1.1859,0.0285%,4156.023,4156.365,4162.073,4133.011
2019-07-30,深证100,399330.SZ,19.94,2.86,31.19,11.78,75.12%,4.38,1.81,73.97%,12.9%,1.5315,MID,548.747亿元,15.389,0.3702%,4171.413,4159.869,4202.293,4159.869
2019-07-31,深证100,399330.SZ,19.74,2.83,31.19,11.78,72.76%,4.38,1.81,70.95%,12.74%,1.5477,MID,471.982亿元,-41.43,-0.993%,4129.982,4158.821,4160.782,4125.954
2019-08-01,深证100,399330.SZ,19.61,2.81,31.19,11.78,70.62%,4.38,1.81,68.63%,12.74%,1.5587,MID,508.952亿元,-27.62,-0.668%,4102.358,4109.885,4133.246,4080.481
2019-08-02,深证100,399330.SZ,19.32,2.78,31.19,11.78,65.9%,4.38,1.81,63.53%,12.72%,1.5755,MID,620.226亿元,-61.27,-1.493%,4041.086,3995.952,4048.376,3985.969
2019-08-05,深证100,399330.SZ,18.94,2.72,31.19,11.78,59.43%,4.38,1.81,59.19%,12.73%,1.6103,MID,562.841亿元,-78.20,-1.935%,3962.885,4016.717,4045.419,3962.885
2019-08-06,深证100,399330.SZ,18.77,2.71,31.19,11.78,56.81%,4.38,1.81,58.33%,12.77%,1.6162,MID,664.075亿元,-36.79,-0.928%,3926.088,3877.596,3943.188,3842.249
2019-08-07,深证100,399330.SZ,18.67,2.7,31.19,11.78,55.50%,4.38,1.81,57.85%,12.77%,1.6222,MID,436.717亿元,-20.19,-0.514%,3905.889,3953.190,3960.225,3905.889
2019-08-08,深证100,399330.SZ,18.96,2.73,31.19,11.78,59.70%,4.38,1.81,60.28%,12.80%,1.6044,MID,439.422亿元,60.975,1.5611%,3966.865,3934.616,3976.122,3933.740
2019-08-09,深证100,399330.SZ,18.6,2.69,31.19,11.78,53.93%,4.38,1.81,57.78%,12.82%,1.6283,MID,531.369亿元,-60.72,-1.530%,3906.144,3986.690,3990.142,3899.499
2019-08-12,深证100,399330.SZ,19,2.75,31.19,11.78,60.62%,4.38,1.81,61.65%,12.80%,1.5927,MID,539.229亿元,84.735,2.1692%,3990.879,3919.009,3990.879,3913.815
2019-08-13,深证100,399330.SZ,18.82,2.72,31.19,11.78,57.79%,4.38,1.81,59.66%,12.82%,1.6103,MID,439.370亿元,-37.23,-0.932%,3953.639,3960.794,3988.407,3940.695
2019-08-14,深证100,399330.SZ,18.96,2.74,31.19,11.78,59.76%,4.38,1.81,60.9%,12.82%,1.5985,MID,586.629亿元,27.918,0.7061%,3981.558,4020.323,4026.960,3978.270
2019-08-15,深证100,399330.SZ,19.03,2.77,31.19,11.78,60.97%,4.38,1.81,63.39%,12.9%,1.5812,MID,515.381亿元,14.686,0.3688%,3996.244,3901.188,3997.241,3889.460
2019-08-16,深证100,399330.SZ,19.11,2.78,31.19,11.78,62.56%,4.38,1.81,64.21%,12.87%,1.5755,MID,604.703亿元,18.587,0.4651%,4014.832,3996.931,4052.878,3987.900
2019-08-19,深证100,399330.SZ,19.59,2.85,31.19,11.78,71.11%,4.38,1.81,72.84%,12.9%,1.5368,MID,889.146亿元,100.85,2.5119%,4115.683,4061.717,4115.683,4031.796
2019-08-20,深证100,399330.SZ,19.59,2.85,31.19,11.78,70.95%,4.38,1.81,73.32%,12.83%,1.5368,MID,713.576亿元,-0.773,-0.018%,4114.91,4118.677,4134.336,4101.665
2019-08-21,深证100,399330.SZ,19.57,2.85,31.19,11.78,70.71%,4.38,1.81,72.87%,13.02%,1.5368,MID,600.870亿元,-3.868,-0.093%,4111.041,4102.616,4130.999,4100.272
2019-08-22,深证100,399330.SZ,19.65,2.86,31.19,11.78,72.11%,4.38,1.81,74.96%,13.05%,1.5315,MID,604.118亿元,16.515,0.4017%,4127.557,4124.598,4131.729,4099.119
2019-08-23,深证100,399330.SZ,19.7,2.87,31.19,11.78,72.88%,4.38,1.81,75.3%,13.07%,1.5261,MID,619.019亿元,10.568,0.2560%,4138.125,4132.539,4151.125,4113.703
2019-08-26,深证100,399330.SZ,19.43,2.83,31.19,11.78,68.78%,4.38,1.81,71.6%,13.07%,1.5477,MID,605.525亿元,-57.49,-1.389%,4080.631,4053.379,4094.500,4049.680
2019-08-27,深证100,399330.SZ,19.82,2.9,31.19,11.78,74.7%,4.38,1.81,77.9%,13.15%,1.5103,MID,796.647亿元,81.525,1.9978%,4162.156,4110.684,4195.538,4110.492
2019-08-28,深证100,399330.SZ,19.8,2.9,31.19,11.78,74.36%,4.38,1.81,77.73%,13.20%,1.5103,MID,616.017亿元,-3.088,-0.074%,4159.067,4170.041,4174.905,4134.243
2019-08-29,深证100,399330.SZ,19.73,2.86,31.19,11.78,73.5%,4.38,1.81,74.85%,13.13%,1.5315,MID,545.919亿元,-14.79,-0.355%,4144.274,4165.695,4168.183,4127.622
2019-08-30,深证100,399330.SZ,19.88,2.86,31.19,11.78,75.64%,4.38,1.81,74.55%,12.98%,1.5315,MID,670.451亿元,9.6009,0.2316%,4153.875,4175.298,4199.753,4125.443
2019-09-02,深证100,399330.SZ,19.72,2.9,31.19,11.78,73.42%,4.38,1.81,77.9%,13.12%,1.5103,MID,722.972亿元,72.282,1.7401%,4226.157,4169.208,4234.595,4166.899
2019-09-03,深证100,399330.SZ,19.81,2.9,31.19,11.78,74.7%,4.38,1.81,78.28%,13.08%,1.5103,MID,668.748亿元,18.460,0.4368%,4244.617,4238.473,4244.617,4213.501
2019-09-04,深证100,399330.SZ,19.92,2.92,31.19,11.78,76.16%,4.38,1.81,79.01%,13.10%,1.5000,MID,729.907亿元,23.260,0.5479%,4267.877,4233.045,4267.877,4223.184
2019-09-05,深证100,399330.SZ,20.05,2.94,31.19,11.78,77.71%,4.38,1.81,80.28%,13.08%,1.4898,MID,983.583亿元,29.102,0.6818%,4296.98,4290.395,4343.984,4290.395
2019-09-06,深证100,399330.SZ,20.14,2.95,31.19,11.78,77.91%,4.38,1.81,81.35%,13.08%,1.4847,MID,795.052亿元,19.242,0.4478%,4316.222,4320.576,4322.880,4282.809
2019-09-09,深证100,399330.SZ,20.41,2.98,31.19,11.78,78.92%,4.38,1.81,84.19%,13.10%,1.4698,MID,961.522亿元,56.574,1.3107%,4372.796,4348.789,4372.796,4323.351
