日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,深证成指,399001.SZ,23.71,2.54,56.79,12.8,58.57%,5.75,1.7,44.71%,10.73%,2.2638,MID,3475.75亿元,352.15,3.8367%,9530.464,9384.788,9530.464,9339.770
2019-07-02,深证成指,399001.SZ,23.77,2.55,56.79,12.8,58.84%,5.75,1.7,44.95%,10.72%,2.2549,MID,3091.18亿元,15.058,0.1579%,9545.522,9516.417,9560.518,9483.155
2019-07-03,深证成指,399001.SZ,23.54,2.49,56.79,12.8,57.82%,5.75,1.7,41.58%,10.58%,2.3092,MID,2694.39亿元,-125.6,-1.315%,9419.839,9519.800,9520.379,9376.307
2019-07-04,深证成指,399001.SZ,23.4,2.48,56.79,12.8,57.34%,5.75,1.7,40.78%,10.58%,2.3185,MID,2362.29亿元,-51.53,-0.547%,9368.305,9435.042,9466.021,9323.073
2019-07-05,深证成指,399001.SZ,23.56,2.49,56.79,12.8,57.85%,5.75,1.7,41.95%,10.59%,2.3092,MID,2111.03亿元,74.909,0.7996%,9443.215,9379.938,9464.391,9345.788
2019-07-08,深证成指,399001.SZ,22.94,2.43,56.79,12.8,56.31%,5.75,1.7,38.4%,10.58%,2.3663,MID,2625.92亿元,-256.9,-2.720%,9186.287,9419.688,9420.238,9124.159
2019-07-09,深证成指,399001.SZ,22.98,2.43,56.79,12.8,56.52%,5.75,1.7,38.69%,10.59%,2.3663,MID,1975.22亿元,12.497,0.1360%,9198.785,9178.907,9221.719,9119.653
2019-07-10,深证成指,399001.SZ,22.9,2.43,56.79,12.8,56.11%,5.75,1.7,38.27%,10.59%,2.3663,MID,1903.63亿元,-32.63,-0.354%,9166.146,9231.856,9239.284,9130.527
2019-07-11,深证成指,399001.SZ,22.86,2.42,56.79,12.8,55.94%,5.75,1.7,38.18%,10.61%,2.3760,MID,1962.86亿元,-13.37,-0.145%,9152.771,9216.949,9282.947,9121.455
2019-07-12,深证成指,399001.SZ,23,2.44,56.79,12.8,56.52%,5.75,1.7,39.14%,10.62%,2.3566,MID,1871.17亿元,60.611,0.6622%,9213.383,9161.271,9236.423,9122.409
2019-07-15,深证成指,399001.SZ,23.21,2.46,56.79,12.8,56.96%,5.75,1.7,40.40%,10.62%,2.3374,MID,2459.06亿元,96.032,1.0423%,9309.415,9181.026,9358.080,9066.712
2019-07-16,深证成指,399001.SZ,23.13,2.45,56.79,12.8,56.76%,5.75,1.7,39.69%,10.61%,2.3469,MID,2116.76亿元,-26.00,-0.279%,9283.408,9294.557,9324.907,9255.429
2019-07-17,深证成指,399001.SZ,23.18,2.46,56.79,12.8,56.88%,5.75,1.7,40.23%,10.61%,2.3374,MID,2293.56亿元,18.590,0.2002%,9301.998,9274.691,9354.812,9242.253
2019-07-18,深证成指,399001.SZ,22.83,2.42,56.79,12.8,55.7%,5.75,1.7,38.01%,10.61%,2.3760,MID,2139.71亿元,-147.3,-1.583%,9154.65,9258.122,9258.122,9153.008
2019-07-19,深证成指,399001.SZ,23.01,2.44,56.79,12.8,56.41%,5.75,1.7,39.41%,10.62%,2.3566,MID,2008.90亿元,73.904,0.8072%,9228.554,9198.816,9298.208,9198.816
2019-07-22,深证成指,399001.SZ,22.75,2.42,56.79,12.8,55.32%,5.75,1.7,37.91%,10.62%,2.3760,MID,2098.35亿元,-105.9,-1.147%,9122.637,9247.281,9254.648,9073.488
2019-07-23,深证成指,399001.SZ,22.88,2.43,56.79,12.8,55.76%,5.75,1.7,38.62%,10.62%,2.3663,MID,1751.68亿元,53.194,0.5830%,9175.832,9125.459,9175.832,9104.756
2019-07-24,深证成指,399001.SZ,23.1,2.45,56.79,12.8,56.57%,5.75,1.7,39.82%,10.62%,2.3469,MID,2214.47亿元,90.466,0.9859%,9266.298,9203.228,9312.674,9203.228
2019-07-25,深证成指,399001.SZ,23.29,2.47,56.79,12.8,57.06%,5.75,1.7,41.12%,10.62%,2.3279,MID,2241.69亿元,78.518,0.8473%,9344.817,9265.310,9344.817,9247.967
2019-07-26,深证成指,399001.SZ,23.3,2.47,56.79,12.8,57.09%,5.75,1.7,41.24%,10.61%,2.3279,MID,1930.88亿元,4.1850,0.0447%,9349.002,9310.646,9363.270,9294.605
2019-07-29,深证成指,399001.SZ,23.32,2.47,56.79,12.8,57.09%,5.75,1.7,41.4%,10.61%,2.3279,MID,1963.02亿元,5.2739,0.0564%,9354.276,9350.212,9376.424,9310.634
2019-07-30,深证成指,399001.SZ,23.48,2.49,56.79,12.8,57.50%,5.75,1.7,42.11%,10.58%,2.3092,MID,2133.76亿元,44.826,0.4792%,9399.102,9362.230,9469.076,9362.230
2019-07-31,深证成指,399001.SZ,23.48,2.47,56.79,12.8,57.44%,5.75,1.7,40.78%,10.51%,2.3279,MID,1930.03亿元,-72.48,-0.771%,9326.614,9374.439,9374.439,9318.586
2019-08-01,深证成指,399001.SZ,23.31,2.45,56.79,12.8,56.93%,5.75,1.7,39.65%,10.51%,2.3469,MID,2028.78亿元,-58.55,-0.627%,9268.054,9278.832,9327.938,9223.306
2019-08-02,深证成指,399001.SZ,23,2.42,56.79,12.8,56.04%,5.75,1.7,37.92%,10.51%,2.3760,MID,2385.79亿元,-131.5,-1.418%,9136.46,9049.353,9150.730,9020.264
2019-08-05,深证成指,399001.SZ,22.58,2.37,56.79,12.8,54.7%,5.75,1.7,36.02%,10.52%,2.4262,MID,2192.69亿元,-151.7,-1.660%,8984.729,9093.067,9168.104,8984.729
2019-08-06,深证成指,399001.SZ,22.28,2.35,56.79,12.8,54.45%,5.75,1.7,34.86%,10.53%,2.4468,MID,2684.28亿元,-125.2,-1.393%,8859.471,8805.155,8898.384,8669.896
