日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,证券公司,399975.CSI,33.79,1.77,57.16,9.89,83.06%,5.04,1.03,34.87%,5.24%,2.8475,MID,356.468亿元,16.931,2.2425%,771.908,779.985,782.094,768.263
2019-07-02,证券公司,399975.CSI,33.43,1.75,57.16,9.89,82.65%,5.04,1.03,33.0%,5.24%,2.8800,MID,213.763亿元,-7.329,-0.949%,764.579,768.724,768.867,762.046
2019-07-03,证券公司,399975.CSI,32.88,1.72,57.16,9.89,81.65%,5.04,1.03,30.40%,5.24%,2.9302,MID,202.404亿元,-13.63,-1.782%,750.943,762.051,762.052,747.367
2019-07-04,证券公司,399975.CSI,32.86,1.72,57.16,9.89,81.52%,5.04,1.03,30.31%,5.24%,2.9302,MID,183.315亿元,0.7259,0.0966%,751.669,752.288,761.541,746.025
2019-07-05,证券公司,399975.CSI,32.76,1.72,57.16,9.89,81.26%,5.04,1.03,29.88%,5.24%,2.9302,MID,147.878亿元,-0.867,-0.115%,750.801,751.969,754.556,745.112
2019-07-08,证券公司,399975.CSI,32.02,1.68,57.16,9.89,80.96%,5.04,1.03,25.86%,5.24%,3.0000,MID,209.840亿元,-19.49,-2.595%,731.306,748.784,751.520,726.490
2019-07-09,证券公司,399975.CSI,32.26,1.69,57.16,9.89,81.11%,5.04,1.03,27.22%,5.24%,2.9822,MID,173.793亿元,5.5589,0.7601%,736.865,733.672,740.238,724.898
2019-07-10,证券公司,399975.CSI,32.09,1.68,57.16,9.89,81.07%,5.04,1.03,26.29%,5.24%,3.0000,MID,164.398亿元,-1.474,-0.200%,735.391,737.649,743.664,731.799
2019-07-11,证券公司,399975.CSI,31.97,1.68,57.16,9.89,80.85%,5.04,1.03,25.69%,5.24%,3.0000,MID,189.405亿元,-0.375,-0.050%,735.015,739.804,747.736,729.085
2019-07-12,证券公司,399975.CSI,32.03,1.68,57.16,9.89,80.9%,5.04,1.03,25.99%,5.24%,3.0000,MID,152.846亿元,3.1050,0.4224%,738.12,733.538,741.576,727.864
2019-07-15,证券公司,399975.CSI,32.86,1.71,57.16,9.89,81.61%,5.04,1.03,29.88%,5.21%,2.9474,MID,249.966亿元,14.695,1.9908%,752.815,734.883,763.314,728.584
2019-07-16,证券公司,399975.CSI,32.7,1.7,57.16,9.89,81.17%,5.04,1.03,28.59%,5.21%,2.9647,MID,137.004亿元,-3.593,-0.477%,749.222,749.607,753.703,747.671
2019-07-17,证券公司,399975.CSI,32.58,1.7,57.16,9.89,81.13%,5.04,1.03,28.26%,5.21%,2.9647,MID,157.943亿元,-2.280,-0.304%,746.941,746.705,753.954,745.508
2019-07-18,证券公司,399975.CSI,32.16,1.68,57.16,9.89,80.91%,5.04,1.03,25.74%,5.21%,3.0000,MID,137.290亿元,-10.51,-1.407%,736.429,741.721,743.966,736.429
2019-07-19,证券公司,399975.CSI,32.83,1.71,57.16,9.89,81.38%,5.04,1.03,29.84%,5.220%,2.9474,MID,193.636亿元,14.586,1.9806%,751.015,740.847,756.095,740.847
2019-07-22,证券公司,399975.CSI,31.96,1.67,57.16,9.89,80.45%,5.04,1.03,25.1%,5.229%,3.0180,MID,162.993亿元,-17.73,-2.360%,733.279,754.718,755.347,733.257
2019-07-23,证券公司,399975.CSI,32.15,1.68,57.16,9.89,80.77%,5.04,1.03,26.09%,5.229%,3.0000,MID,101.375亿元,4.1730,0.5690%,737.452,735.488,741.099,734.004
2019-07-24,证券公司,399975.CSI,32.39,1.69,57.16,9.89,80.96%,5.04,1.03,27.67%,5.229%,2.9822,MID,152.092亿元,5.4579,0.7401%,742.91,740.503,750.829,740.503
2019-07-25,证券公司,399975.CSI,32.45,1.7,57.16,9.89,80.97%,5.04,1.03,28.18%,5.229%,2.9647,MID,118.883亿元,3.2810,0.4416%,746.191,742.461,746.731,739.304
2019-07-26,证券公司,399975.CSI,32.25,1.69,57.16,9.89,80.75%,5.04,1.03,27.02%,5.229%,2.9822,MID,98.4743亿元,-3.663,-0.490%,742.528,742.529,743.259,738.838
2019-07-29,证券公司,399975.CSI,31.74,1.66,57.16,9.89,79.60%,5.04,1.03,23.93%,5.229%,3.0361,MID,123.885亿元,-11.42,-1.537%,731.103,741.031,741.031,728.626
2019-07-30,证券公司,399975.CSI,32.04,1.67,57.16,9.89,80.38%,5.04,1.03,25.56%,5.229%,3.0180,MID,140.744亿元,6.5710,0.8987%,737.674,731.987,745.623,731.946
2019-07-31,证券公司,399975.CSI,31.61,1.65,57.16,9.89,79.53%,5.04,1.03,22.46%,5.229%,3.0545,MID,93.7068亿元,-3.731,-0.505%,733.942,735.687,736.442,731.866
2019-08-01,证券公司,399975.CSI,31.11,1.63,57.16,9.89,79.22%,5.04,1.03,20.19%,5.229%,3.0920,MID,113.558亿元,-9.835,-1.340%,724.107,729.362,733.583,722.123
